"best_actor_year","best_actor_url","best_actor_name","best_actor_name_url","best_actor_film_name","best_actor_film_url"
"1955 (28th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=28&view=3-Award%20Category-Chron","Ernest Borgnine","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=2969&view=1-Nominee-Alpha","Marty","http://awardsdatabase.oscars.org/Search/Nominations?filmId=371&view=2-Film%20Title-Alpha"
"1956 (29th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=29&view=3-Award%20Category-Chron","Yul Brynner","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=3095&view=1-Nominee-Alpha","The King and I","http://awardsdatabase.oscars.org/Search/Nominations?filmId=807&view=2-Film%20Title-Alpha"
"1957 (30th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=30&view=3-Award%20Category-Chron","Alec Guinness","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=3225&view=1-Nominee-Alpha","The Bridge on the River Kwai","http://awardsdatabase.oscars.org/Search/Nominations?filmId=868&view=2-Film%20Title-Alpha"
"1958 (31st)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=31&view=3-Award%20Category-Chron","David Niven","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=3324&view=1-Nominee-Alpha","Separate Tables","http://awardsdatabase.oscars.org/Search/Nominations?filmId=37&view=2-Film%20Title-Alpha"
"1959 (32nd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=32&view=3-Award%20Category-Chron","Charlton Heston","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=3433&view=1-Nominee-Alpha","Ben-Hur","http://awardsdatabase.oscars.org/Search/Nominations?filmId=253&view=2-Film%20Title-Alpha"
"1960 (33rd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=33&view=3-Award%20Category-Chron","Burt Lancaster","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=3553&view=1-Nominee-Alpha","Elmer Gantry","http://awardsdatabase.oscars.org/Search/Nominations?filmId=82&view=2-Film%20Title-Alpha"
"1961 (34th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=34&view=3-Award%20Category-Chron","Maximilian Schell","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=3675&view=1-Nominee-Alpha","Judgment at Nuremberg","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3104&view=2-Film%20Title-Alpha"
"1962 (35th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=35&view=3-Award%20Category-Chron","Gregory Peck","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=3801&view=1-Nominee-Alpha","To Kill a Mockingbird","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2741&view=2-Film%20Title-Alpha"
"1963 (36th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=36&view=3-Award%20Category-Chron","Sidney Poitier","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=3919&view=1-Nominee-Alpha","Lilies of the Field","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2847&view=2-Film%20Title-Alpha"
"1964 (37th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=37&view=3-Award%20Category-Chron","Rex Harrison","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=4036&view=1-Nominee-Alpha","My Fair Lady","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2900&view=2-Film%20Title-Alpha"
"1965 (38th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=38&view=3-Award%20Category-Chron","Lee Marvin","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=4162&view=1-Nominee-Alpha","Cat Ballou","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2957&view=2-Film%20Title-Alpha"
"1966 (39th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=39&view=3-Award%20Category-Chron","Paul Scofield","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=4287&view=1-Nominee-Alpha","A Man for All Seasons","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3012&view=2-Film%20Title-Alpha"
"1967 (40th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=40&view=3-Award%20Category-Chron","Rod Steiger","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=4410&view=1-Nominee-Alpha","In the Heat of the Night","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3063&view=2-Film%20Title-Alpha"
