"best_actress_year","best_actress_url","best_actress_name","best_actress_name_url","best_actress_film_name","best_actress_film_url"
"1965 (38th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=38&view=3-Award%20Category-Chron","Julie Christie","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=4172&view=1-Nominee-Alpha","Darling","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2965&view=2-Film%20Title-Alpha"
"1966 (39th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=39&view=3-Award%20Category-Chron","Elizabeth Taylor","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=4297&view=1-Nominee-Alpha","Who's Afraid of Virginia Woolf?","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3009&view=2-Film%20Title-Alpha"
"1967 (40th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=40&view=3-Award%20Category-Chron","Katharine Hepburn","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=4421&view=1-Nominee-Alpha","Guess Who's Coming to Dinner","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3064&view=2-Film%20Title-Alpha"
"1968 (41st)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=41&view=3-Award%20Category-Chron","Katharine Hepburn","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=4525&view=1-Nominee-Alpha","The Lion in Winter","http://awardsdatabase.oscars.org/Search/Nominations?filmId=2793&view=2-Film%20Title-Alpha"
"1969 (42nd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=42&view=3-Award%20Category-Chron","Maggie Smith","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=4643&view=1-Nominee-Alpha","The Prime of Miss Jean Brodie","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3222&view=2-Film%20Title-Alpha"
"1970 (43rd)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=43&view=3-Award%20Category-Chron","Glenda Jackson","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=4747&view=1-Nominee-Alpha","Women in Love","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3266&view=2-Film%20Title-Alpha"
"1971 (44th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=44&view=3-Award%20Category-Chron","Jane Fonda","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=4853&view=1-Nominee-Alpha","Klute","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3315&view=2-Film%20Title-Alpha"
"1972 (45th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=45&view=3-Award%20Category-Chron","Liza Minnelli","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=4957&view=1-Nominee-Alpha","Cabaret","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3360&view=2-Film%20Title-Alpha"
"1973 (46th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=46&view=3-Award%20Category-Chron","Glenda Jackson","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=5065&view=1-Nominee-Alpha","A Touch of Class","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3410&view=2-Film%20Title-Alpha"
"1974 (47th)","http://awardsdatabase.oscars.org/Search/Nominations?awardShowFrom=47&view=3-Award%20Category-Chron","Ellen Burstyn","http://awardsdatabase.oscars.org/Search/Nominations?nominationId=5168&view=1-Nominee-Alpha","Alice Doesn't Live Here Anymore","http://awardsdatabase.oscars.org/Search/Nominations?filmId=3455&view=2-Film%20Title-Alpha"
